Id,Neighborhood,Zip Code
1,Oakwood,16101
2,Central Business District,15219
3,Carrick,15210
4,Brookline,15226
5,South Side Slopes,15203
6,Hazelwood,15207
7,Highland Park,15206
8,Squirrel Hill South,15217
9,Regent Square,15218
10,Regent Square,15221
11,Perry North,15212
12,Beechview,15226
13,Beechview,15220
14,Beechview,15216
15,Beltzhoover,15210
16,Spring Hill-City View,15212
17,West End,15220
18,Greenfield,15217
19,Shadyside,15232
20,Shadyside,15206
21,Shadyside,15213
22,East Allegheny,15212
23,Lincoln-Lemington-Belmar,15206
24,Hays,15227
25,Hays,15207
26,Allegheny Center,15212
27,North Oakland,15213
28,South Side Flats,15203
29,Central Oakland,15213
30,Point Breeze,15208
31,Allegheny West,15233
32,Strip District,15222
33,Crawford-Roberts,15219
34,Elliott,15220
35,Mount Washington,15211
36,Brighton Heights,15212
37,Perry South,15212
38,North Shore,15212
39,Upper Hill,15213
40,Garfield,15224
41,Garfield,15232
42,Central Lawrenceville,15201
43,Upper Lawrenceville,15201
44,Stanton Heights,15201
45,Duquesne Heights,15211
46,Allentown,15282
47,Allentown,15203
48,East Liberty,15206
49,Bloomfield,15224
50,Bloomfield,15232
51,East Carnegie,15106
52,East Hills,15221
53,Lower Lawrenceville,15201
54,Overbrook,15227
55,Polish Hill,15219
56,Sheraden,15204
57,Spring Garden,15212
58,Swisshelm Park,15218